"id","Symbol","IDG Family"
6344,"GNGT2","Other"
6345,"GHR","Other"
6346,"GHSR","GPCR"
6347,"GLI4","Transcription Factor"
6348,"GADD45GIP1","Other"
6349,"GAS2L2","Other"
6350,"ERVK-8","Other"
6351,"ERVK-9","Other"
6352,"GAK","Kinase"
6353,"MCM3AP","Other"
6354,"CCKBR","GPCR"
6355,"GLT8D1","Enzyme"
6356,"GLT1D1","Enzyme"
6357,"GLIS2","Transcription Factor"
6358,"FUNDC2","Other"
6359,"FUS","Other"
6360,"GPR37L1","GPCR"
6361,"FBXL18","Other"
6362,"G6PC","Enzyme"
6363,"GAS2L3","Other"
6364,"ERVK-10","Other"
6365,"GAMT","Enzyme"
6366,"ERVK-6","Other"
6367,"GALNT3","Enzyme"
6368,"GARNL3","Enzyme"
6369,"GALNT7","Enzyme"
6370,"GAST","Other"
6371,"GAS6","Other"
6372,"FCGR2A","Other"
6373,"FCN1","Other"
6374,"FBXW9","Other"
6375,"FGD3","Other"
6376,"FGF19","Other"
6377,"FEV","Transcription Factor"
6378,"FEZ1","Other"
6379,"FKBP14","Enzyme"
6380,"FKBP1A","Enzyme"
6381,"FKBP1B","Enzyme"
6382,"WTAP","Other"
6383,"FMO4","Enzyme"
6384,"FMR1NB","Other"
6385,"FLT3LG","Enzyme"
6386,"FOXB1","Transcription Factor"
6387,"FOXL1","Transcription Factor"
6388,"FOXR1","Transcription Factor"
6389,"FER1L6","Other"
6390,"FOXD1","Other"
6391,"FOXJ2","Transcription Factor"
6392,"FRAT2","Other"
6393,"FOXO3","Transcription Factor"
6394,"FRY","Other"
6395,"FSTL5","Other"
6396,"FRMPD2","Other"
6397,"FTO","Enzyme"
6398,"FLYWCH2","Other"
6399,"FUT1","Enzyme"
6400,"FBXL17","Other"
6401,"G0S2","Other"
6402,"FBXL22","Other"
6403,"FZD6","GPCR"
6404,"MPIG6B","Other"
6405,"MTFMT","Enzyme"
6406,"FNDC5","Other"
6407,"FNDC7","Other"
6408,"FNDC3A","Other"
6409,"FOPNL","Other"
6410,"FOXB2","Transcription Factor"
6411,"FOXR2","Transcription Factor"
6412,"FRMD8P1","Other"
6413,"FRMPD3","Other"
6414,"FUOM","Enzyme"
6415,"FUBP1","Other"
6416,"KHSRP","Other"
6417,"FBXL21","Other"
6418,"PIKFYVE","Kinase"
6419,"FLOT1","Other"
6420,"FNBP1","Other"
6421,"FNDC10","Other"
6422,"FNDC11","Other"
6423,"FOXE1","Transcription Factor"
6424,"FOXN2","Transcription Factor"
6425,"FXN","Other"
6426,"FPR2","GPCR"
6427,"FREM3","Other"
6428,"FRG1","Other"
6429,"FADS2P1","Enzyme"
6430,"FST","Other"
6431,"FRMD1","Other"
6432,"FRMD7","Other"
6433,"FH","Enzyme"
6434,"FUT10","Enzyme"
6435,"FUT6","Enzyme"
6436,"FOXD4L1","Transcription Factor"
6437,"FOXD4L3","Transcription Factor"
6438,"FBXL15","Other"
6439,"FOXRED2","Enzyme"
6440,"FUBP3","Other"
6441,"FXYD7","Ion Channel"
6442,"FCRL4","Other"
6443,"FCRLB","Other"
6444,"FABP12","Other"
6445,"FEM1C","Other"
6446,"FERD3L","Transcription Factor"
6447,"FHIT","Enzyme"
6448,"HES4","Transcription Factor"
6449,"CFHR4","Other"
6450,"CFHR5","Other"
6451,"FGFBP3","Other"
6452,"FIGLA","Transcription Factor"
6453,"FGF20","Other"
6454,"FIZ1","Transcription Factor"
6455,"FKBP10","Enzyme"
6456,"FLRT3","Other"
6457,"FMC1","Other"
6458,"FMO2","Enzyme"
6459,"FNBP4","Other"
6460,"FNDC1","Other"
6461,"FOXK1","Transcription Factor"
6462,"FICD","Enzyme"
6463,"FGFR1","Kinase"
6464,"FLG","Other"
6465,"FIP1L1","Other"
6466,"FKBP11","Enzyme"
6467,"FKBP5","Enzyme"
6468,"FKBP15","Other"
6469,"FLI1","Transcription Factor"
6470,"FLNA","Other"
6471,"FLRT1","Other"
6472,"FMN1","Other"
6473,"FMN2","Other"
6474,"FMNL1","Other"
6475,"FLNB","Other"
6476,"FMOD","Other"
6477,"FOCAD","Other"
6478,"FOXP4","Transcription Factor"
6479,"FOXN4","Transcription Factor"
6480,"FRAT1","Other"
6481,"FBRSL1","Other"
6482,"FCN3","Other"
6483,"FCHSD1","Other"
6484,"FER1L6-AS1","Other"
6485,"FNBP1L","Other"
6486,"FEM1A","Other"
6487,"FETUB","Other"
6488,"FGF4","Other"
6489,"FGFR2","Kinase"
6490,"FGF9","Other"
6491,"HES6","Transcription Factor"
6492,"FGFR4","Kinase"
6493,"FIGN","Enzyme"
6494,"FKBP6","Enzyme"
6495,"FKBP4","Enzyme"
6496,"FMNL2","Other"
6497,"FAM25A","Other"
6498,"FAM25C","Other"
6499,"FLOT2","Other"
6500,"FN3K","Kinase"
6501,"FNTA","Enzyme"
6502,"FNIP1","Other"
6503,"FAM8A1","Other"
6504,"F8","Other"
6505,"FABP4","Other"
6506,"HIST1H2BN","Other"
6507,"TBRG4","Other"
6508,"FANCE","Other"
6509,"FANCL","Enzyme"
6510,"FABP5P3","Other"
6511,"FBH1","Enzyme"
6512,"FBXL2","Other"
6513,"FBXL3","Other"
6514,"FBXO46","Other"
6515,"FBXO27","Other"
6516,"BTRC","Other"
6517,"FBXO36","Other"
6518,"FBXW7","Other"
6519,"FCRL3","Other"
6520,"AFP","Other"
6521,"FES","Kinase"
6522,"FGF13","Other"
6523,"FGF7","Other"
6524,"HES3","Transcription Factor"
6525,"FHL2","Other"
6526,"HESX1","Transcription Factor"
6527,"FHL5","Other"
6528,"FGF21","Other"
6529,"FABP6","Other"
6530,"FABP9","Other"
6531,"FIBCD1","Other"
6532,"FAT2","Other"
6533,"FBXO16","Other"
6534,"FCAR","Other"
6535,"FBXO24","Other"
6536,"FCER1A","Other"
6537,"FBXL6","Other"
6538,"FBXL8","Other"
6539,"FBXW2","Other"
6540,"FBXW4","Other"
6541,"FBLN7","Other"
6542,"FBXO33","Other"
6543,"FBXW8","Other"
6544,"FCGBP","Other"
6545,"FBXO9","Other"
6546,"FCRL5","Other"
6547,"FBN1","Other"
6548,"FER1L6-AS2","Other"
6549,"FEN1","Enzyme"
6550,"FGFBP2","Other"
6551,"FHL3","Other"
6552,"FGL1","Other"
6553,"FLII","Other"
6554,"CACFD1","Other"
6555,"HIST1H2BA","Other"
6556,"HIST1H2BC","Other"
6557,"HIST1H2BM","Other"
6558,"FLAD1","Enzyme"
6559,"H2BFM","Other"
6560,"FAR2","Enzyme"
6561,"FAM27B","Other"
6562,"PTK2B","Kinase"
6563,"FAXC","Other"
6564,"FANCB","Other"
6565,"FBXO41","Other"
6566,"FBXO42","Other"
6567,"FBXO22","Other"
6568,"FCGR1B","Other"
6569,"FBXL7","Other"
6570,"FBRS","Other"
6571,"FBXW10","Other"
6572,"FBLIM1","Other"
6573,"FBXW5","Other"
6574,"FBXO10","Other"
6575,"FCRL1","Other"
6576,"FKBP2","Enzyme"
6577,"MCAT","Enzyme"
6578,"FAM92A","Other"
6579,"FAAH2","Enzyme"
6580,"FAM167A-AS1","Other"
6581,"HIST1H2BD","Other"
6582,"HIST1H2BH","Other"
6583,"HIST2H3A","Other"
6584,"NSMAF","Other"
6585,"HIST1H4G","Other"
6586,"FAAP20","Other"
6587,"FASTKD1","Enzyme"
6588,"FARP2","Other"
6589,"FANCF","Other"
6590,"FDFT1","Enzyme"
6591,"FCGR3A","Other"
6592,"FCRL6","Other"
6593,"FBN3","Other"
6594,"FDCSP","Other"
6595,"FERMT1","Other"
6596,"HERPUD1","Other"
6597,"FAAH","Enzyme"
6598,"FAM92B","Other"
6599,"FAM3A","Other"
6600,"FAT3","Other"
6601,"FASTK","Kinase"
6602,"FAT1","Other"
6603,"FBXO40","Other"
6604,"FBLN1","Other"
6605,"FCGRT","Other"
6606,"FBXO45","Other"
6607,"FBXO4","Other"
6608,"FBXO5","Other"
6609,"FCGR3B","Other"
6610,"FCGR1A","Other"
6611,"HERPUD2","Other"
6612,"AHSG","Other"
6613,"FGD4","Other"
6614,"FGD5","Other"
6615,"FGD6","Other"
6616,"CFHR1","Other"
6617,"CFHR2","Other"
6618,"FGFR3","Kinase"
6619,"FGFBP1","Other"
6620,"FEZ2","Other"
6621,"FEZF1","Transcription Factor"
6622,"FIGNL1","Enzyme"
6623,"FGF12","Other"
6624,"FGGY","Kinase"
6625,"FKRP","Other"
6626,"FABP5","Other"
6627,"HIST1H2BO","Other"
6628,"RCE1","Enzyme"
6629,"FAHD2B","Enzyme"
6630,"FANCM","Other"
6631,"FAM9C","Other"
6632,"FASTKD2","Enzyme"
6633,"FANCA","Other"
6634,"BRIP1","Other"
6635,"FBXL19-AS1","Other"
6636,"FBXO21","Other"
6637,"FBLN2","Other"
6638,"FBXO44","Other"
6639,"FBXO2","Other"
6640,"FBXO31","Other"
6641,"FBXW11","Other"
6642,"FBXO7","Other"
6643,"FBXO15","Other"
6644,"HIST1H2BJ","Other"
6645,"FBXO43","Other"
6646,"FCER2","Other"
6647,"FBXO47","Other"
6648,"ALAS1","Enzyme"
6649,"FCER1G","Other"
6650,"FBXW12","Other"
6651,"FCN2","Other"
6652,"FDX2","Other"
6653,"FCHSD2","Other"
6654,"FGF3","Other"
6655,"HES1","Transcription Factor"
6656,"FGR","Kinase"
6657,"FGF18","Other"
6658,"FGA","Other"
6659,"FGF1","Other"
6660,"FGF10","Other"
6661,"FILIP1L","Other"
6662,"FFAR3","GPCR"
6663,"FITM1","Other"
6664,"FJX1","Other"
6665,"MTRNR2L7","Other"
6666,"HNRNPLL","Other"
6667,"HOMER3","Other"
6668,"HPF1","Other"
6669,"HPS1","Other"
6670,"RARRES3","Other"
6671,"HRASLS5","Enzyme"
6672,"HRES1","Other"
6673,"HRG","Other"
6674,"HSFX4","Other"
6675,"HSPA6","Other"
6676,"HSPA7","Other"
6677,"HSPB1","Other"
6678,"HOXA11","Transcription Factor"
6679,"HOXC9","Transcription Factor"
6680,"HOXA1","Transcription Factor"
6681,"HOXB2","Transcription Factor"
6682,"HOXA5","Transcription Factor"
6683,"HK1","Kinase"
6684,"IRF2BP1","Other"
6685,"HK3","Kinase"
6686,"GCK","Kinase"
6687,"MTRNR2L13","Other"
6688,"HNF4A","Nuclear Receptor"
6689,"ONECUT1","Transcription Factor"
6690,"ADHFE1","Enzyme"
6691,"HPCA","Other"
6692,"HPDL","Enzyme"
6693,"HPCAL1","Other"
6694,"HPD","Enzyme"
6695,"HPR","Other"
6696,"HS3ST2","Enzyme"
6697,"HSPA4L","Other"
6698,"HSP90AA2P","Other"
6699,"HSFY1","Transcription Factor"
6700,"IGHV1-2","Other"
6701,"IGHV1-3","Other"
6702,"IGHV4-30-4","Other"
6703,"IGHV1-69","Other"
6704,"IGHV2-5","Other"
6705,"IGHV3-20","Other"
6706,"HUWE1","Enzyme"
6707,"HOXC4","Transcription Factor"
6708,"EPHX1","Enzyme"
6709,"HYLS1","Other"
6710,"RBCK1","Other"
6711,"HPCAL4","Other"
6712,"HNRNPH1","Other"
6713,"HAPLN1","Other"
6714,"HNRNPR","Other"
6715,"HPSE2","Enzyme"
6716,"HRASLS","Other"
6717,"HRASLS2","Other"
6718,"HSPA1L","Other"
6719,"HSBP1L1","Other"
6720,"HS3ST5","Enzyme"
6721,"HRH1","GPCR"
6722,"HSPA2","Other"
6723,"HSPB3","Other"
6724,"HSPB6","Other"
6725,"HSPB8","Other"
6726,"HUS1","Other"
6727,"IGHV1-8","Other"
6728,"IGHV1-24","Other"
6729,"IGHV3-23","Other"
6730,"IGHV3-66","Other"
6731,"HOXD13","Transcription Factor"
6732,"IGHV4-59","Other"
6733,"IGHV5-10-1","Other"
6734,"IGHV7-4-1","Other"
6735,"IER5L","Other"
6736,"HSPA12B","Other"
6737,"HSF1","Transcription Factor"
6738,"HSPA13","Other"
6739,"HTATIP2","Enzyme"
6740,"HUS1B","Other"
6741,"HTRA3","Enzyme"
6742,"HEATR5A","Other"
6743,"IGHV3-9","Other"
6744,"IGHV3-33","Other"
6745,"IGHV3-43","Other"
6746,"IGHV3-64","Other"
6747,"IGHV3-74","Other"
6748,"IGHV4-4","Other"
6749,"IGHV4-34","Other"
6750,"HOXB3","Transcription Factor"
6751,"IGHV5-51","Other"
6752,"HOXB4","Transcription Factor"
6753,"HYPM","Other"
6754,"IL20RA","Other"
6755,"HYAL3","Enzyme"
6756,"IL11RA","Other"
6757,"IL12RB1","Other"
6758,"IL12RB2","Other"
6759,"IL13RA1","Other"
6760,"HMSD","Other"
6761,"HSPBP1","Other"
6762,"HNRNPK","Other"
6763,"HPS3","Other"
6764,"HSPA12A","Other"
6765,"SLC48A1","Transporter"
6766,"HS3ST1","Enzyme"
6767,"HSPA4","Other"
6768,"MT-RNR2","Other"
6769,"HUNK","Kinase"
6770,"IGHV2-70","Other"
6771,"HOXC6","Transcription Factor"
6772,"HOXB6","Transcription Factor"
6773,"IGHV3-11","Other"
6774,"HOXB7","Transcription Factor"
6775,"HOXA13","Transcription Factor"
6776,"IGHV3-30","Other"
6777,"IGHV3-30-5","Other"
6778,"IGHV3-49","Other"
6779,"HOXD9","Transcription Factor"
6780,"IGHV3-73","Other"
6781,"HOXC11","Transcription Factor"
6782,"IGHV4-61","Other"
6783,"ISG20L2","Enzyme"
6784,"IL17RE","Other"
6785,"IL18BP","Other"
6786,"HYDIN","Other"
6787,"HAS3","Enzyme"
6788,"INPP5A","Enzyme"
6789,"IFT122","Other"
6790,"IGF2BP2","Other"
6791,"EIF1AY","Other"
6792,"HNRNPC","Other"
6793,"HORMAD2","Other"
6794,"HNRNPCL4","Other"
6795,"HNRNPM","Other"
6796,"SYNCRIP","Other"
6797,"HPS5","Other"
6798,"HNRNPU","Other"
6799,"HSFX3","Other"
6800,"MGARP","Other"
6801,"IGHV3-30-3","Other"
6802,"IGHV1-58","Other"
6803,"IGHV2-26","Other"
6804,"PRODH2","Enzyme"
6805,"DNALI1","Other"
6806,"IDS","Enzyme"
6807,"HTRA2","Enzyme"
6808,"AMDHD1","Enzyme"
6809,"HVCN1","Ion Channel"
6810,"IGHV4-38-2","Other"
6811,"HOXA4","Transcription Factor"
6812,"IGHV3-7","Other"
6813,"IGHV3-48","Other"
6814,"HOXB9","Transcription Factor"
6815,"HOXC10","Transcription Factor"
6816,"HOXD12","Transcription Factor"
6817,"IGHV4-28","Other"
6818,"IGHV4-31","Other"
6819,"IGHV4-30-2","Other"
6820,"HOXC13","Transcription Factor"
6821,"HOXB5","Transcription Factor"
6822,"HYKK","Enzyme"
6823,"IAH1","Enzyme"
6824,"IDI1","Enzyme"
6825,"EIF5B","Other"
6826,"ME3","Other"
6827,"EIF4G1","Other"
6828,"EIF6","Other"
6829,"EIF4G3","Other"
6830,"IFI6","Other"
6831,"HYI","Enzyme"
6832,"IL10RA","Other"
6833,"IL10RB","Other"
6834,"IL15RA","Other"
6835,"TOR1AIP2","Other"
6836,"IFNK","Other"
6837,"IFI44","Other"
6838,"EIF5A2","Other"
6839,"IFT52","Other"
6840,"IGSF21","Other"
6841,"HTRA1","Enzyme"
6842,"IGHV1-18","Other"
6843,"IGHV3-15","Other"
6844,"IGHV3-21","Other"
6845,"FAM126A","Other"
6846,"IER2","Other"
6847,"IER3","Other"
6848,"EIF4A1","Other"
6849,"EIF4E","Other"
6850,"IFFO1","Other"
6851,"EIF4E2","Other"
6852,"HSPB11","Other"
6853,"IFNL4","Other"
6854,"IGHE","Other"
6855,"IGHG1","Other"
6856,"IFIT2","Other"
6857,,"Other"
6858,"IFIT5","Other"
6859,"IGBP1","Other"
6860,"PDAP1","Other"
6861,"HAUS2","Other"
6862,"HMBS","Enzyme"
6863,"HERC1","Enzyme"
6864,"HIPK1","Kinase"
6865,"MST1","Enzyme"
6866,"HINT1","Other"
6867,"HOXD4","Transcription Factor"
6868,"HOXD8","Transcription Factor"
6869,"IGHV3-53","Other"
6870,"IL20RB","Other"
6871,"IL22RA1","Other"
6872,"IFT140","Other"
6873,"ITPKB","Kinase"
6874,"ITPRIPL2","Other"
6875,"IQCB1","Other"
6876,"MEF2A","Transcription Factor"
6877,"IRAK2","Kinase"
6878,"IRAK3","Kinase"
6879,"IQSEC1","Other"
6880,"MEIS2","Transcription Factor"
6881,"ISL2","Transcription Factor"
6882,"MEP1A","Other"
6883,"MEP1B","Other"
6884,"ISX","Transcription Factor"
6885,"ITGA2B","Other"
6886,"ITGA4","Other"
6887,"ITIH1","Other"
6888,"MEPE","Other"
6889,"ITGB5","Other"
6890,"ITIH6","Other"
6891,"ERVMER34-1","Other"
6892,"ITGB8","Other"
6893,"ITM2C","Other"
6894,"ITGB1BP1","Other"
6895,"ITGA6","Other"
6896,"ITGA8","Other"
6897,"ITGA9","Other"
6898,"ITGAD","Other"
6899,"ITGAE","Other"
6900,"ITGAM","Other"
6901,"MESP1","Transcription Factor"
6902,"MESP2","Transcription Factor"
6903,"MEST","Enzyme"
6904,"JPH2","Other"
6905,"JPH3","Other"
6906,"JPH4","Other"
6907,"JSRP1","Other"
6908,"JPT1","Other"
6909,"MAT1A","Enzyme"
6910,"KAAG1","Other"
6911,"MAT2A","Enzyme"
6912,"AK1","Kinase"
6913,"AK2","Kinase"
6914,"AK5","Kinase"
6915,"AK8","Kinase"
6916,"KANSL3","Other"
6917,"CCDC155","Other"
6918,"KYAT1","Enzyme"
6919,"KAT2A","Epigenetic"
6920,"METTL9","Enzyme"
6921,"KAT6B","Epigenetic"
6922,"KAT7","TF-Epigenetic"
6923,"KATNAL1","Enzyme"
6924,"KATNAL2","Enzyme"
6925,"KAZALD1","Enzyme"
6926,"KAZN","Other"
6927,"GCAT","Enzyme"
6928,"KIF1BP","Other"
6929,"NKIRAS2","Enzyme"
6930,"KBTBD2","Other"
6931,"KBTBD3","Other"
6932,"KBTBD4","Other"
6933,"MET","Kinase"
6934,"MEX3A","Other"
6935,"MEX3B","Other"
6936,"MEX3C","Enzyme"
6937,"CSNK1D","Kinase"
6938,"MFSD14A","Other"
6939,"MFSD14B","Other"
6940,"CSNK1E","Kinase"
6941,"KCNAB2","Ion Channel"
6942,"CSNK1G2","Kinase"
6943,"MFAP1","Other"
6944,"MFAP2","Other"
6945,"MFAP3","Other"
6946,"MFAP4","Other"
6947,"PNCK","Kinase"
6948,"MFAP5","Other"
6949,"CAMK1D","Kinase"
6950,"MFSD4A","Other"
6951,"CAMK1G","Kinase"
6952,"IFT172","Other"
6953,"IGHG4","Other"
6954,"IGSF8","Other"
6955,,"Other"
6956,"IGF1R","Kinase"
6957,"CCDC36","Other"
6958,"IKZF1","Transcription Factor"
6959,"NFKBIZ","Other"
6960,"IL12A","Other"
6961,"IL2RG","Other"
6962,"IL36A","Other"
6963,"IL36B","Other"
6964,"SPINK4","Enzyme"
6965,"SPINK6","Enzyme"
6966,"ISOC2","Enzyme"
6967,"MELK","Kinase"
6968,"VEPH1","Other"
6969,"ISM1","Other"
6970,"ITGB2","Other"
6971,"ITGB3","Other"
6972,"ITIH4","Other"
6973,"ITIH5","Other"
6974,"ITK","Kinase"
6975,"ITGB7","Other"
6976,"ITLN1","Other"
6977,"ITM2A","Other"
6978,"ITM2B","Other"
6979,"ITGB1BP2","Other"
6980,"ITPRID2","Other"
6981,"ITPK1","Kinase"
6982,"ITGAX","Other"
6983,"IVD","Enzyme"
6984,"ITSN2","Other"
6985,"METTL14","Enzyme"
6986,"METTL7A","Enzyme"
6987,"IYD","Enzyme"
6988,"IZUMO1","Other"
6989,"JADE1","Epigenetic"
6990,"JADE2","Epigenetic"
6991,"JAG1","Other"
6992,"JAG2","Other"
6993,"JAML","Other"
6994,"JAK3","Kinase"
6995,"F11R","Other"
6996,"JAM2","Other"
6997,"JRKL","Other"
6998,"JAM3","Other"
6999,"MAPK8IP2","Enzyme"
7000,"JKAMP","Other"
7001,"JMJD7","Other"
7002,"JPH1","Other"
7003,"JMJD6","Enzyme"
7004,"JUNB","Transcription Factor"
7005,"ANOS1","Other"
7006,"PRKAR1A","Enzyme"
7007,"PRKAR2A","Enzyme"
7008,"PRKACB","Kinase"
7009,"PRKACG","Kinase"
7010,"KANK3","Other"
7011,"KAT2B","Epigenetic"
7012,"KYAT3","Enzyme"
7013,"METTL4","Enzyme"
7014,"METTL5","Enzyme"
7015,"NKIRAS1","Enzyme"
7016,"KCNAB1","Ion Channel"
7017,"KCNAB3","Ion Channel"
7018,"CSNK1G3","Kinase"
7019,"CAMK2B","Kinase"
7020,"MFF","Other"
7021,"CAMK4","Kinase"
7022,"KCNJ14","Ion Channel"
7023,"KCNJ15","Ion Channel"
7024,"KCNJ16","Ion Channel"
7025,"KCNJ18","Ion Channel"
7026,"MFGE8","Other"
7027,"MFHAS1","Other"
7028,"KCNA6","Ion Channel"
7029,"KCNA7","Ion Channel"
7030,"MFN1","Other"
7031,"KCNMB1","Ion Channel"
7032,"MFN2","Other"
7033,"KCNMB3","Ion Channel"
7034,"KCNC1","Ion Channel"
7035,"KCNQ4","Ion Channel"
7036,"KCNQ5","Ion Channel"
7037,"KCNRG","Other"
7038,"KCNS1","Ion Channel"
7039,"KDELC2","Other"
7040,"KDF1","Other"
7041,"KIDINS220","Enzyme"
7042,"EIF1AX","Other"
7043,"MTIF3","Other"
7044,"IFNL1","Other"
7045,"IFNL2","Other"
7046,"IFNA2","Other"
7047,"IFT43","Other"
7048,"IFT46","Other"
7049,"IFRD1","Other"
7050,"IFIT1B","Other"
7051,"IFT20","Other"
7052,"IFT80","Other"
7053,"IGF2-AS","Other"
7054,"IGDCC4","Other"
7055,"IGLC6","Other"
7056,"IGLL1","Other"
7057,"IGLON5","Other"
7058,"IGFL3","Other"
7059,,"Other"
7060,"IRAK1BP1","Enzyme"
7061,"IL19","Other"
7062,"IL17B","Other"
7063,"IL9R","Other"
7064,"IL9","Other"
7065,"IQCF6","Other"
7066,"SPINK8","Enzyme"
7067,"SPINK9","Enzyme"
7068,"MLPH","Other"
7069,"ITGA7","Other"
7070,"MERTK","Kinase"
7071,"ITPRID1","Other"
7072,"ITPA","Enzyme"
7073,"ITSN1","Other"
7074,"ITPR1","Ion Channel"
7075,"HDDC3","Enzyme"
7076,"ITPR2","Ion Channel"
7077,"ITPR3","Ion Channel"
7078,"METTL17","Enzyme"
7079,"JRK","Other"
7080,"JAKMIP1","Enzyme"
7081,"JAKMIP2","Enzyme"
7082,"JAKMIP3","Enzyme"
7083,"JMJD1C","Epigenetic"
7084,"SPAG9","Enzyme"
7085,"JHY","Other"
7086,"JOSD1","Other"
7087,"JOSD2","Other"
7088,"IZUMO1R","Other"
7089,"JUN","Transcription Factor"
7090,"JTB","Other"
7091,"KIAA0040","Other"
7092,"KIAA0087","Other"
7093,"KIAA0100","Other"
7094,"KIAA0355","Other"
7095,"KIAA0408","Other"
7096,"KIAA0513","Other"
7097,"KIAA0556","Other"
7098,"KIAA0895","Other"
7099,"KIAA0930","Other"
7100,"KIAA1109","Other"
7101,"KIAA1143","Other"
7102,"KIAA1210","Other"
7103,"KIAA1324","Other"
7104,"KIAA1328","Other"
7105,"KIAA1324L","Other"
7106,"KIAA1551","Other"
7107,"KIAA1586","Other"
7108,"KIAA1614","Other"
7109,"KIAA1671","Other"
7110,"KIAA1755","Other"
7111,"KIAA1841","Other"
7112,"KRT15","Other"
7113,"KRT16","Other"
7114,"KRT19","Other"
7115,"KRT20","Other"
7116,"KRT23","Other"
7117,"KRT24","Other"
7118,"KRT25","Other"
7119,"KRT26","Other"
7120,"KRT27","Other"
7121,"KRT28","Other"
7122,"KRT39","Other"
7123,"KRT40","Other"
7124,"KRT9","Other"
7125,"KRT31","Other"
7126,"KRT32","Other"
7127,"KIAA2012","Other"
7128,"KIAA2013","Other"
7129,"KIAA2026","Epigenetic"
7130,"KRT2","Other"
7131,"KRT76","Other"
7132,"KRT77","Other"
7133,"KRT1","Other"
7134,"KRT3","Other"
7135,"KRT4","Other"
7136,"KRT6A","Other"
7137,"KRT6B","Other"
7138,"KRT6C","Other"
7139,"KRT73","Other"
7140,"KRT74","Other"
7141,"KRT78","Other"
7142,"KRT79","Other"
7143,"KRT80","Other"
7144,"MTR","Enzyme"
7145,"KIAA0895L","Other"
7146,"AK9","Kinase"
7147,"ZNF517","Transcription Factor"
7148,"ZNF519","Transcription Factor"
7149,"ZNF521","Transcription Factor"
7150,"ZNF45","Transcription Factor"
7151,"ZRANB2","Other"
7152,"SLC30A9","Transporter"
7153,"ZNF556","Transcription Factor"
7154,"ZNF84","Transcription Factor"
7155,"ZNF85","Transcription Factor"
7156,"ZNF703","Other"
7157,"ZSCAN22","Transcription Factor"
7158,"ZNF835","Transcription Factor"
7159,"ZNF837","Transcription Factor"
7160,"ZPR1","Other"
7161,"ZKSCAN8","Transcription Factor"
7162,"ZMYND19","Other"
7163,"ZNF287","Transcription Factor"
7164,"ZNF479","Transcription Factor"
7165,"ZFHX3","Transcription Factor"
7166,"ZNF575","Transcription Factor"
7167,"ZNF625","Transcription Factor"
7168,"ZC3H13","Other"
7169,"ZNF358","Transcription Factor"
7170,"ZNF426","Transcription Factor"
7171,"ZNF433","Transcription Factor"
7172,"ZNF253","Transcription Factor"
7173,"ZNF850","Other"
7174,"ZNHIT2","Other"
7175,"ZNF862","Other"
7176,"ZNF263","Transcription Factor"
7177,"ZNF511","Other"
7178,"ZNF267","Transcription Factor"
7179,"ZNF513","Transcription Factor"
7180,"ZNF543","Transcription Factor"
7181,"ZNF454","Transcription Factor"
7182,"ZNF548","Transcription Factor"
7183,"TJP1","Other"
7184,"ZNF750","Other"
7185,"ZNF561","Transcription Factor"
7186,"ZSCAN12","Transcription Factor"
7187,"ZNF699","Transcription Factor"
7188,"ZNF75CP","Other"
7189,"ZNF566","Transcription Factor"
7190,"ZNF567","Transcription Factor"
7191,"ZSCAN23","Transcription Factor"
7192,"ZUP1","Enzyme"
7193,"ZNF91","Transcription Factor"
7194,"ZPBP2","Other"
7195,"ZNF75A","Transcription Factor"
7196,"ZNF700","Transcription Factor"
7197,"ZNF701","Transcription Factor"
7198,"SLC30A4","Transporter"
7199,"ZNF841","Transcription Factor"
7200,"ZNF773","Transcription Factor"
7201,"ZNF709","Transcription Factor"
7202,"ZW10","Other"
7203,"ZSWIM2","Enzyme"
7204,"ZNF280D","Transcription Factor"
7205,"ZNF132","Transcription Factor"
7206,"ZNF134","Transcription Factor"
7207,"ZNF135","Transcription Factor"
7208,"ZCCHC2","Other"
7209,"ZIM2","Transcription Factor"
7210,"ZDHHC8","Enzyme"
7211,"ZDHHC15","Enzyme"
7212,"ZFC3H1","Other"
7213,"ZNF221","Transcription Factor"
7214,"ZNF222","Transcription Factor"
7215,"ZGPAT","Epigenetic"
7216,"ZNF622","Other"
7217,"ZMAT2","Other"
7218,"ZNF233","Transcription Factor"
7219,"ZNF578","Other"
7220,"ZNF304","Transcription Factor"
7221,"ZMYM4","Other"
7222,"ZNF429","Transcription Factor"
7223,"ZNF248","Transcription Factor"
7224,"ZNF431","Transcription Factor"
7225,"ZNF586","Transcription Factor"
7226,"ZNF436","Transcription Factor"
7227,"ZNF846","Transcription Factor"
7228,"ZFP1","Transcription Factor"
7229,"ZNF439","Transcription Factor"
7230,"ZNF205","Transcription Factor"
7231,"ZNF720","Other"
7232,"ZNF443","Transcription Factor"
7233,"ZNF35","Transcription Factor"
7234,"ZNF540","Transcription Factor"
7235,"ZNF449","Transcription Factor"
7236,"ZNF41","Transcription Factor"
7237,"ZNF664","Transcription Factor"
7238,"ZNRF4","Other"
7239,"ZSWIM5","Other"
7240,"ZNF19","Transcription Factor"
7241,"ZNF726P1","Other"
7242,"ZNF73","Other"
7243,"ZNF557","Transcription Factor"
7244,"ZNF22","Transcription Factor"
7245,"ZNF80","Transcription Factor"
7246,"SLC30A2","Transporter"
7247,"ZSCAN20","Transcription Factor"
